dep,Zone neige 1,Zone vent 1,zone neige 2,cantons neige 2,zone neige 3,cantons neige 3,zone vent 2,cantons vent 2,zone vent 3,cantons vent 3
01,C2,1,A2,"[Bƒg‚-le-Chƒtel, Bourg-en-Bresse-Est, Bourg-en-Bresse-Nord-Centre, Bourg-en-Bresse-Sud, Chalamont, Chƒtillon-sur-Chalaronne, Coligny, Meximieux, Miribel, Montluel, Montrevel-en-Bresse, P‚ronnas, Pont-d'Ain, Pont-de-Vaux, Pont-de-Veyle, Reyrieux, Saint-Trivier-de-Courtes, Saint-Trivier-sur-Moignans, Thoissey, Tr‚voux, Villars-les-Dombes, Viriat]",A2,[],2,"[Bƒg‚-le-Chƒtel, Chalamont, Chƒtillon-sur-Chalaronne, Coligny, Meximieux, Miribel, Montluel, Montrevel-en-Bresse, Pont-de-Vaux, Pont-de-Veyle, Reyrieux, Saint-Trivier-de-Courtes, Saint-Trivier-sur-Moignans, Thoissey, Tr‚voux, Villars-les-Dombes]",2,[]
02,A1,2,C1,"[Aubenton, Capelle, Hirson]",C1,[],2,[],2,[]
03,A2,2,A2,[],A2,[],2,[],2,[]
04,C1,2,C1,[],C1,[],1,"[Annot, Barcelonnette, Entrevaux, Javie, Lauzet-Ubaye, Saint-Andr‚-les-Alpes, Seyne]",1,[]
05,C1,1,C1,[],C1,[],2,"[Aspres-sur-Bu‰ch, Barcillonnette, Laragne-Mont‚glin, Orpierre, Ribiers, Rosans, Serres, Tallard, Veynes]",2,[]
06,A2,2,C1,"[Breil-sur-Roya, Guillaumes, Lantosque, Puget-Th‚niers, RoquebilliŠre, Saint-tienne-de-Tin‚e, Saint-Martin-V‚subie, Saint-Sauveur-sur-Tin‚e, Sospel, Tende, Villars-sur-Var]",C1,[],1,"[Guillaumes, Puget-Th‚niers, Saint-tienne-de-Tin‚e, Saint-Martin-V‚subie, Saint-Sauveur-sur-Tin‚e, Villars-sur-Var]",1,[]
07,C2,2,C2,[],C2,[],2,[],2,[]
08,C1,2,A1,"[Asfeld, Attigny, Buzancy, Chƒteau-Porcien, Chaumont-Porcien, Chesne, Grandpr‚, Juniville, Machault, Monthois, Novion-Porcien, Rethel, Tourteron, Vouziers]",A1,[],2,[],2,[]
09,A2,2,C2,"[Ax-les-Thermes, Cabannes, Lavelanet, Mirepoix, Qu‚rigut]",C2,[],2,[],2,[]
10,A1,2,A1,[],A1,[],2,[],2,[]
11,D,3,C2,"[Belpech, Castelnaudary-Nord, Castelnaudary-Sud, Fanjeaux, Salles-sur-l'Hers]",C2,[],2,"[Alaigne, Alzonne, Belpech, Carcassonne  1er Canton, Carcassonne  2e  Canton-Nord, Carcassonne  3e  Canton, Carcassonne  2e  Canton-Sud, Castelnaudary-Nord, Castelnaudary-Sud, Chalabre, Conques-sur-Orbiel, Fanjeaux, Limoux, Mas-CabardŠs, Montr‚al, Saissac, Salles-sur-l'Hers]",2,[]
12,A2,2,A2,[],A2,[],2,[],2,[]
13,A2,3,A2,[],A2,[],3,[],3,[]
14,A1,2,A1,[],A1,[],2,[],2,[]
15,A2,1,A2,[],A2,[],2,"[Allanche, Chaudes-Aigues, Condat, Massiac, Murat, Pierrefort, Ruynes-en-Margeride, Saint-Flour-Nord, Saint-Flour-Sud]",2,[]
16,A2,1,A2,[],A2,[],1,[],1,[]
17,A2,3,A2,[],A2,[],1,"[Montendre, Montguyon, Montlieu-la-Garde]",2,"[Archiac, Aulnay, Burie, Cozes, G‚mozac, Jonzac, Loulay, Matha, Mirambeau, Pons, Saintes-Nord, Saintes-Ouest, Saintes-Est, Saint-Genis-de-Saintonge, Saint-Hilaire-de-Villefranche, Saint-Jean-d'Ang‚ly, Saint-Porchaire, Saint-Savinien, Saujon, Tonnay-Boutonne]"
18,A1,2,A1,[],A1,[],2,[],2,[]
19,A2,1,A2,[],A2,[],1,[],1,[]
2B,A2,4,A2,[],A2,[],3,"[BelgodŠre, Calenzana, Calvi, ×le-Rousse]",3,[]
2A,A2,3,A2,[],A2,[],4,"[Bonifacio, Figari, Levie, Porto-Vecchio, Tallano-ScopamŠne]",4,[]
21,A1,2,A1,[],A1,[],1,"[Auxonne, Chen“ve, Dijon  1er Canton, Dijon  2e  Canton, Dijon  3e  Canton, Dijon  4e  Canton, Dijon  5e  Canton, Dijon  6e  Canton, Dijon  7e  Canton, Dijon  8e  Canton, Fontaine-Fran‡aise, Fontaine-lŠs-Dijon, Genlis, Grancey-le-Chƒteau-Neuvelle, Is-sur-Tille, Mirebeau-sur-BŠze, Pontailler-sur-Sa“ne, Saint-Jean-de-Losne, Saint-Seine-l'Abbaye, Selongey]",1,[]
22,A1,3,A1,[],A1,[],3,[],3,[]
23,A2,1,A2,[],A2,[],1,[],1,[]
24,A2,1,A2,[],A2,[],1,[],1,[]
25,C1,1,B1,"[Audeux, Besan‡on-Nord-Est, Besan‡on-Sud, Besan‡on-Est, Besan‡on-Ouest, Besan‡on-Nord-Ouest, BoussiŠres, Marchaux]",E,"[MaŒche, MontbenoŒt, Morteau, Pierrefontaine-les-Varans, Russey, Saint-Hippolyte]",2,"[Audincourt, Clerval, tupes, H‚rimoncourt, Isle-sur-le-Doubs, MaŒche, Montb‚liard-Est, Montb‚liard-Ouest, Pont-de-Roide, Saint-Hippolyte, Sochaux-Grand-Charmont, Valentigney]",2,[]
26,C2,2,C2,[],C2,[],2,[],2,[]
27,A1,2,A1,[],A1,[],2,[],2,[]
28,A1,2,A1,[],A1,[],2,[],2,[]
29,A1,3,A1,[],A1,[],3,[],3,[]
30,B2,2,B2,[],B2,[],3,"[Aigues-Mortes, Rh“ny-Vidourle, Aramon, Beaucaire, Vistrenque, Saint-Gilles, Marguerittes, NŒmes, Quissac, Saint-Mamert-du-Gard, SommiŠres, Vauvert]",3,[]
31,A2,1,C2,[Revel],C2,[],2,"[Auterive, Caraman, Cintegabelle, Lanta, Montgiscard, Nailloux, Revel, Villefranche-de-Lauragais]",2,[]
32,A2,1,A2,[],A2,[],1,[],1,[]
33,A2,1,A2,[],A2,[],2,"[Castelnau-de-M‚doc, Lesparre-M‚doc, Pauillac, Saint-Laurent-M‚doc, Saint-Vivien-de-M‚doc]",2,[]
34,B2,3,C2,"[B‚ziers  1er Canton, B‚ziers  2e  Canton, B‚ziers  3e  Canton, B‚ziers  4e  Canton, , Capestang, Olonzac, Saint-Chinian, Saint-Pons-de-ThomiŠres]",C2,[],3,[],3,[]
35,A1,2,A1,[],A1,[],2,[],2,[]
36,A1,2,A1,[],A1,[],2,[],2,[]
37,A1,2,A1,[],A1,[],2,[],2,[]
38,C2,1,C2,[],C2,[],2,"[Beaurepaire, Heyrieux, Saint-Jean-de-Bournay]",2,[]
39,B1,1,B1,"[Chaussin, Chemin, Dampierre, Dole-Nord-Est, Dole-Sud-Ouest, Gendrey, Montbarrey, Montmirey-le-Chƒteau, Rochefort-sur-Nenon]",B1,[],1,[],1,[]
40,A2,1,A2,[],A2,[],2,"[Amou, Castets, Dax-Nord,Dax-Sud, Montfort-en-Chalosse, Mugron, Peyrehorade, Pouillon, Saint-Martin-de-Seignanx, Saint-Vincent-de-Tyrosse, Soustons, Tartas-Est, Tartas-Ouest]",2,[]
41,A1,2,A1,[],A1,[],2,[],2,[]
42,A2,2,A2,[],A2,[],2,[],2,[]
43,A2,2,A2,[],A2,[],2,[],2,[]
44,A1,3,A1,[],A1,[],2,"[Ancenis, Blain, Chƒteaubriant, Derval, Gu‚men‚-Penfao, Lign‚, Moisdon-la-RiviŠre, Nort-sur-Erdre, Nozay, Riaill‚, Roug‚, Saint-Julien-de-Vouvantes, Saint-Mars-la-Jaille, Saint-Nicolas-de-Redon, Varades]",2,[]
45,A1,2,A1,[],A1,[],2,[],2,[]
46,A2,1,A2,[],A2,[],1,[],1,[]
47,A2,1,A2,[],A2,[],1,[],1,[]
48,A2,2,A2,[],A2,[],2,[],2,[]
49,A1,2,A1,[],A1,[],2,[],2,[]
50,A1,2,A1,[],A1,[],2,[],2,[]
51,A1,2,A1,[],A1,[],2,[],2,[]
52,A1,2,A1,[],A1,[],2,[],2,[]
53,A1,2,A1,[],A1,[],2,[],2,[]
54,A1,2,B1,"[Arracourt, Baccarat, Bayon, Blƒmont, Gerb‚viller, Harou‚, Lun‚ville-Nord, Lun‚ville-Sud]",C1,"[Badonviller, Cirey-sur-Vezouze]",2,[],2,[]
55,A1,2,C1,"[Montm‚dy, Stenay]",C1,[],2,[],2,[]
56,A1,3,A1,[],A1,[],3,[],3,[]
