"DEP,C,3","NCCENR,C,70","NCCCT,C,70"
1,Abergement-Cl‚menciat,Chƒtillon-sur-Chalaronne
1,Abergement-de-Varey,Amb‚rieu-en-Bugey
1,Amareins,
1,Amb‚rieu-en-Bugey,Amb‚rieu-en-Bugey
1,Amb‚rieux-en-Dombes,Saint-Trivier-sur-Moignans
1,Ambl‚on,Belley
1,Ambronay,Amb‚rieu-en-Bugey
1,Ambutrix,Lagnieu
1,Andert-et-Condon,Belley
1,Anglefort,Seyssel
1,Apremont,Nantua
1,Aranc,Hauteville-Lompnes
1,Arandas,Saint-Rambert-en-Bugey
1,Arbent,Oyonnax-Nord
1,Arbignieu,Belley
1,Arbigny,Pont-de-Vaux
1,Argis,Saint-Rambert-en-Bugey
1,Arlod,
1,Armix,Virieu-le-Grand
1,Arnans,
1,Ars-sur-Formans,Reyrieux
1,Artemare,Champagne-en-Valromey
1,AsniŠres-sur-Sa“ne,Bƒg‚-le-Chƒtel
1,Attignat,Montrevel-en-Bresse
1,Bƒg‚-la-Ville,Bƒg‚-le-Chƒtel
1,Bƒg‚-le-Chƒtel,Bƒg‚-le-Chƒtel
1,Balan,Montluel
1,Baneins,Saint-Trivier-sur-Moignans
1,Beaupont,Coligny
1,Beauregard,Tr‚voux
1,Bellignat,Oyonnax-Sud
1,B‚ligneux,Montluel
1,Bellegarde-sur-Valserine,Bellegarde-sur-Valserine
1,Belley,Belley
1,Belleydoux,Oyonnax-Nord
1,Belmont-Luth‚zieu,Champagne-en-Valromey
1,B‚nonces,Lhuis
1,B‚ny,Coligny
1,B‚on,Champagne-en-Valromey
1,B‚r‚ziat,Montrevel-en-Bresse
1,Bettant,Amb‚rieu-en-Bugey
1,Bey,Pont-de-Veyle
1,Beynost,Miribel
1,Billiat,Bellegarde-sur-Valserine
1,Birieux,Villars-les-Dombes
1,Biziat,Chƒtillon-sur-Chalaronne
1,Blyes,Lagnieu
1,Bohas,
1,Boisse,Montluel
1,Boissey,Pont-de-Vaux
1,Bolozon,Izernore
1,Bouligneux,Villars-les-Dombes
1,Bourg-en-Bresse,Bourg-en-Bresse-Est
1,Bourg-en-Bresse,Bourg-en-Bresse-Nord-Centre
1,Bourg-en-Bresse,Bourg-en-Bresse-Sud
1,Bourg-en-Bresse,Bourg-en-Bresse-Est
1,Bourg-Saint-Christophe,Meximieux
1,Bouvent,
1,Boyeux-Saint-J‚r“me,Poncin
1,Boz,Pont-de-Vaux
1,Br‚gnier-Cordon,Belley
1,Br‚naz,Champagne-en-Valromey
1,Br‚nod,Br‚nod
1,Brens,Belley
1,Bressolles,Montluel
1,Brion,Nantua
1,Briord,Lhuis
1,Buellas,Viriat
1,Burbanche,Virieu-le-Grand
1,Ceignes,Izernore
1,Cerdon,Poncin
1,Certines,Pont-d'Ain
1,Cesseins,
1,Cessy,Gex
1,Ceyz‚riat,Ceyz‚riat
1,Ceyz‚rieu,Virieu-le-Grand
1,Chalamont,Chalamont
1,Chaleins,Saint-Trivier-sur-Moignans
1,Chaley,Saint-Rambert-en-Bugey
1,Challes,Poncin
1,Challex,Collonges
1,Champagne-en-Valromey,Champagne-en-Valromey
1,Champdor,Br‚nod
1,Champfromier,Bellegarde-sur-Valserine
1,Chanay,Seyssel
1,Chaneins,Saint-Trivier-sur-Moignans
1,Chanoz-Chƒtenay,Chƒtillon-sur-Chalaronne
1,Chapelle-du-Chƒtelard,Villars-les-Dombes
1,Charancin,
1,Charix,Nantua
1,Charnoz-sur-Ain,Meximieux
1,Chƒteau-Gaillard,Amb‚rieu-en-Bugey
1,Chƒtenay,Chalamont
1,Chƒtillon-en-Michaille,Bellegarde-sur-Valserine
1,Chƒtillon-la-Palud,Chalamont
1,Chƒtillon-sur-Chalaronne,Chƒtillon-sur-Chalaronne
1,Chavannes-sur-Reyssouze,Pont-de-Vaux
1,Chavannes-sur-Suran,Treffort-Cuisiat
1,Chaveyriat,Chƒtillon-sur-Chalaronne
1,Chavornay,Champagne-en-Valromey
1,Chazey-Bons,Belley
1,Chazey-sur-Ain,Lagnieu
1,Cheignieu-la-Balme,Virieu-le-Grand
1,Chevillard,Br‚nod
1,Chevroux,Pont-de-Vaux
1,Chevry,Gex
1,Ch‚zery-Forens,Collonges
1,Civrieux,Reyrieux
1,Cize,Ceyz‚riat
1,Cleyzieu,Saint-Rambert-en-Bugey
1,Coligny,Coligny
1,Collonges,Collonges
1,Colomieu,Belley
1,Conand,Saint-Rambert-en-Bugey
1,Condamine,Br‚nod
1,Condeissiat,Chƒtillon-sur-Chalaronne
1,Confort,Collonges
1,Confran‡on,Montrevel-en-Bresse
1,Contrevoz,Virieu-le-Grand
1,Conzieu,Belley
1,Corbonod,Seyssel
1,Corcelles,Br‚nod
1,Cordieux,
1,Corlier,Hauteville-Lompnes
1,Cormaranche-en-Bugey,Hauteville-Lompnes
1,Cormoranche-sur-Sa“ne,Pont-de-Veyle
1,Cormoz,Saint-Trivier-de-Courtes
1,Corveissiat,Treffort-Cuisiat
1,Coupy,
1,Courmangoux,Treffort-Cuisiat
1,Courtes,Saint-Trivier-de-Courtes
1,Crans,Chalamont
1,Cras-sur-Reyssouze,Montrevel-en-Bresse
1,Craz,
1,Cr‚pieux-la-Pape,
1,Cressin-Rochefort,Belley
1,Crottet,Pont-de-Veyle
1,Crozet,Gex
1,Cruzilles-lŠs-M‚pillat,Pont-de-Veyle
1,Cuisiat,
1,Culoz,Seyssel
1,Curciat-Dongalon,Saint-Trivier-de-Courtes
1,Curtafond,Montrevel-en-Bresse
1,Cuzieu,Virieu-le-Grand
1,Dagneux,Montluel
1,Divonne-les-Bains,Gex
1,Dommartin,Bƒg‚-le-Chƒtel
1,Dompierre-sur-Veyle,Pont-d'Ain
1,Dompierre-sur-Chalaronne,Chƒtillon-sur-Chalaronne
1,Domsure,Coligny
1,Dortan,Oyonnax-Nord
1,Douvres,Amb‚rieu-en-Bugey
1,Drom,Ceyz‚riat
1,Druillat,Pont-d'Ain
1,challon,Oyonnax-Nord
1,chenevex,Gex
1,trez,Montrevel-en-Bresse
1,vosges,Saint-Rambert-en-Bugey
1,Faramans,Meximieux
1,Fareins,Saint-Trivier-sur-Moignans
1,Farges,Collonges
1,Feillens,Bƒg‚-le-Chƒtel
1,Ferney-Voltaire,Ferney-Voltaire
1,Fitignieu,
1,Flaxieu,Virieu-le-Grand
1,Foissiat,Montrevel-en-Bresse
1,Forens,
1,Francheleins,Saint-Trivier-sur-Moignans
1,Frans,Tr‚voux
1,Garnerans,Thoissey
1,Genay,
1,Genouilleux,Thoissey
1,G‚ovreissiat,Nantua
1,G‚ovreisset,Oyonnax-Sud
1,Germagnat,Treffort-Cuisiat
1,Gex,Gex
1,Giron,Bellegarde-sur-Valserine
1,Gorrevod,Pont-de-Vaux
1,Grand-Abergement,Br‚nod
1,Grand-Corent,Ceyz‚riat
1,Granges,
1,GriŠges,Pont-de-Veyle
1,Grilly,Gex
1,Groissiat,Oyonnax-Sud
1,Grosl‚e,Lhuis
1,Gu‚reins,Thoissey
1,Hautecourt-RomanŠche,Ceyz‚riat
1,Hauteville-Lompnes,Hauteville-Lompnes
1,Hostias,Saint-Rambert-en-Bugey
1,Hotonnes,Br‚nod
1,Illiat,Thoissey
1,Injoux-G‚nissiat,Bellegarde-sur-Valserine
1,Innimond,Lhuis
1,Izenave,Br‚nod
1,Izernore,Izernore
1,Izieu,Belley
1,Jassans-Riottier,Tr‚voux
1,Jasseron,Ceyz‚riat
1,Jayat,Montrevel-en-Bresse
1,Journans,Pont-d'Ain
1,Joyeux,Meximieux
1,Jujurieux,Poncin
1,Labalme,Poncin
1,Lacoux,
1,Lagnieu,Lagnieu
1,Laiz,Pont-de-Veyle
1,Lalleyriat,Nantua
1,Lancrans,Collonges
1,Lantenay,Br‚nod
1,Lapeyrouse,Villars-les-Dombes
1,Lavours,Belley
1,L‚az,Collonges
1,L‚lex,Gex
1,Lent,P‚ronnas
1,Lescheroux,Saint-Trivier-de-Courtes
1,Leyment,Lagnieu
1,Leyssard,Izernore
1,Lh“pital,Bellegarde-sur-Valserine
1,Lhuis,Lhuis
1,Lilignod,
1,Lochieu,Champagne-en-Valromey
1,Lompnas,Lhuis
1,Lompnes,
1,Lompnieu,Champagne-en-Valromey
1,Longecombe,
1,Loyes,
1,Loyettes,Lagnieu
1,Lurcy,Saint-Trivier-sur-Moignans
1,Luth‚zieu,
1,Magnieu,Belley
1,Maillat,Nantua
1,Malafretaz,Montrevel-en-Bresse
1,Mantenay-Montlin,Saint-Trivier-de-Courtes
1,Manziat,Bƒg‚-le-Chƒtel
1,Marboz,Coligny
1,Marchamp,Lhuis
1,Marignieu,Virieu-le-Grand
1,Marlieux,Villars-les-Dombes
1,Marsonnas,Montrevel-en-Bresse
1,Martignat,Oyonnax-Sud
1,Massieux,Reyrieux
1,Massignieu-de-Rives,Belley
1,Matafelon-Granges,Izernore
1,Meillonnas,Treffort-Cuisiat
1,M‚rignat,Poncin
1,Messimy-sur-Sa“ne,Saint-Trivier-sur-Moignans
1,Meximieux,Meximieux
1,Bohas-Meyriat-Rignat,Ceyz‚riat
1,M‚z‚riat,Chƒtillon-sur-Chalaronne
1,Mijoux,Gex
1,Mionnay,Reyrieux
1,Miribel,Miribel
1,Mis‚rieux,Reyrieux
1,Mo‰ns,
1,Mogneneins,Thoissey
1,Mollon,
1,Montagnat,P‚ronnas
1,Montagnieu,Lhuis
1,Montanay,
1,Montanges,Bellegarde-sur-Valserine
1,Montceaux,Thoissey
1,Montcet,Viriat
1,Montellier,Meximieux
1,Monthieux,Villars-les-Dombes
1,Montluel,Montluel
1,Montmerle-sur-Sa“ne,Thoissey
1,Montracol,P‚ronnas
1,Montr‚al-la-Cluse,Nantua
1,Montrevel-en-Bresse,Montrevel-en-Bresse
1,Nurieux-Volognat,Izernore
1,Murs-et-G‚lignieux,Belley
1,Nantua,Nantua
1,Napt,
1,Nattages,Belley
1,Neuville-les-Dames,Chƒtillon-sur-Chalaronne
1,Neuville-sur-Ain,Pont-d'Ain
1,Neyrolles,Nantua
1,Neyron,Miribel
1,Ni‚vroz,Montluel
1,Nivollet-Montgriffon,Saint-Rambert-en-Bugey
1,Ochiaz,
1,Oncieu,Saint-Rambert-en-Bugey
1,Ordonnaz,Lhuis
1,Ornex,Ferney-Voltaire
1,Outriaz,Br‚nod
1,Oyonnax,Oyonnax-Nord
1,Oyonnax,Oyonnax-Sud
1,Oyonnax,Canton non pr‚cis‚
